dataset,url,date_published,records,swe,swe_georef,swe_georef_noissue,taxon_match_none,taxon_match_higher_rank,taxon_match_fuzzy
Algae (S),http://doi.org/10.15468/pqxsbz,2016-01-05,15953,5211,4027,3283,623,274,30
Botany (UPS),http://doi.org/10.15468/ufmslw,2016-01-05,706679,416566,12576,12096,5436,42292,3661
"Entomological Collections (NHRS), Swedish Museum of Natural History (NRM)",http://doi.org/10.15468/fpzyjx,2016-03-31,100658,44878,32875,32528,0,2007,684
Fungi (S),http://doi.org/10.15468/qfmb77,2016-01-05,327284,159924,145255,133478,2367,2409,451
Gothenburg Herbarium – General (GBIF:IH:GB:Herbarium),http://doi.org/10.15468/afkfpi,2016-01-05,151334,101320,101317,97495,28,4352,429
Gothenburg Herbarium – Types (GBIF:IH:GB:Herbarium),http://doi.org/10.15468/9hacmg,2016-01-05,2217,128,128,114,0,23,8
Invertebrates Collection of the Swedish Museum of Natural History,http://doi.org/10.15468/eyda6l,2016-01-05,144765,44496,34200,33158,296,893,395
Invertebrates of the Gothenburg Natural History Museum (GNM),http://doi.org/10.15468/v0gwot,2016-01-05,46710,36803,0,0,0,489,791
Lund Botanical Museum (LD),http://doi.org/10.15468/c4w4co,2016-02-25,777837,549862,533277,531998,423,39322,2893
Lund Museum of Zoology – Insect collections (MZLU),http://doi.org/10.15468/dahk2a,,157566,20347,0,0,5,1203,449
Mosses (S),http://doi.org/10.15468/yhyc17,2016-01-07,209691,109603,95717,82469,3052,9584,391
NRM-Fishes,http://doi.org/10.15468/d7eitf,,51499,10864,10316,10062,0,138,9
OHN,http://doi.org/10.15468/u5wjib,2016-01-07,146809,133226,133226,127897,11,7993,476
Phanerogamic Botanical Collections (S),http://doi.org/10.15468/yo3mmu,2016-01-07,1030627,645103,2232,2095,10347,61744,5893
Vertebrates of the Gothenburg Natural History Museum (GNM),http://doi.org/10.15468/xmrfet,2016-01-07,55816,27240,0,0,0,235,18
Zoology (Museum of Evolution – Uppsala),http://doi.org/10.15468/1rofux,2016-01-07,259949,78163,1452,310,0,6441,1347
